,AMR
1189,37897
1189,37897
1189,37897
1194,37898
1194,37898
1194,37898
1201,37899
1201,37899
1201,37899
1207,37900
1207,37900
1207,37900
1212,37901
1212,37901
1212,37901
1217,37902
1217,37902
1217,37902
1228,37902
1228,37902
1228,37902
1234,37902
1234,37902
1234,37902
1240,37902
1240,37902
1240,37902
1246,37902
1246,37902
1246,37902
1250,37902
1250,37902
1250,37902
1257,37902
1257,37902
1257,37902
1264,37902
1264,37902
1264,37902
1264,37902
1271,37902
1271,37902
1271,37902
1271,37902
1279,37902
1279,37902
1279,37902
1279,37902
1287,37902
1287,37902
1287,37902
1287,37902
1294,37902
1294,37902
1294,37902
1294,37902
1302,37902
1302,37902
1302,37902
1302,37902
1310,37902
1310,37902
1310,37902
1310,37902
1317,37902
1317,37902
1317,37902
1317,37902
1325,37902
1325,37902
1325,37902
1325,37902
1333,37902
1333,37902
1333,37902
1333,37902
1333,37902
1339,37902
1339,37902
1339,37902
1339,37902
1339,37902
1350,37902
1350,37902
1350,37902
1350,37902
1350,37902
1359,37902
1359,37902
1359,37902
1359,37902
1359,37902
1369,37902
1369,37902
1369,37902
1369,37902
1369,37902
1377,37902
1377,37902
1377,37902
1377,37902
1377,37902
1386,37902
1386,37902
1386,37902
1386,37902
1386,37902
1397,37902
1397,37902
1397,37902
1397,37902
1397,37902
1406,37902
1406,37902
1406,37902
1406,37902
1406,37902
1417,37902
1417,37902
1417,37902
1417,37902
1417,37902
1427,37902
1427,37902
1427,37902
1427,37902
1427,37902
1435,37902
1435,37902
1435,37902
1435,37902
1435,37902
1447,37902
1447,37902
1447,37902
1447,37902
1447,37902
1456,37902
1456,37902
1456,37902
1456,37902
1456,37902
1466,37902
1466,37902
1466,37902
1466,37902
1466,37902
1476,37902
1476,37902
1476,37902
1476,37902
1476,37902
1485,37902
1485,37902
1485,37902
1485,37902
1485,37902
1494,37902
1494,37902
1494,37902
1494,37902
1494,37902
1502,37902
1502,37902
1502,37902
1502,37902
1502,37902
1513,37902
1513,37902
1513,37902
1513,37902
1513,37902
1522,37902
1522,37902
1522,37902
1522,37902
1522,37902
1533,37902
1533,37902
1533,37902
1533,37902
1533,37902
1543,37902
1543,37902
1543,37902
1543,37902
1543,37902
1550,37902
1550,37902
1550,37902
1550,37902
1550,37902
1562,37902
1562,37902
1562,37902
1562,37902
1562,37902
1571,37902
1571,37902
1571,37902
1571,37902
1571,37902
1581,37902
1581,37902
1581,37902
1581,37902
1581,37902
1591,37902
1591,37902
1591,37902
1591,37902
1591,37902
1602,37902
1602,37902
1602,37902
1602,37902
1602,37902
1611,37902
1611,37902
1611,37902
1611,37902
1611,37902
1621,37902
1621,37902
1621,37902
1621,37902
1621,37902
1631,37902
1631,37902
1631,37902
1631,37902
1631,37902
1640,37902
1640,37902
1640,37902
