,3,4,5,6
45024,33876,2018-05-09 00:00:49,0,1
45026,33876,2018-05-09 00:01:53,0,1
45028,33876,2018-05-09 00:02:57,0,1
45030,33876,2018-05-09 00:03:58,0,1
45031,33876,2018-05-09 00:04:01,0,1
45033,33876,2018-05-09 00:05:04,0,1
45034,33876,2018-05-09 00:06:00,0,1
45035,33876,2018-05-09 00:07:01,0,1
45037,33876,2018-05-09 00:08:02,0,1
45038,33876,2018-05-09 00:09:03,0,1
45040,33876,2018-05-09 00:10:04,0,1
45042,33876,2018-05-09 00:11:05,0,1
45044,33876,2018-05-09 00:12:06,0,1
45046,33876,2018-05-09 00:13:07,0,1
45048,33876,2018-05-09 00:14:08,0,1
45050,33876,2018-05-09 00:15:09,0,1
45052,33876,2018-05-09 00:16:10,0,1
45053,33876,2018-05-09 00:17:02,0,1
45055,33876,2018-05-09 00:18:06,0,1
45057,33876,2018-05-09 00:19:09,0,1
45059,33876,2018-05-09 00:20:14,0,1
45060,33876,2018-05-09 00:21:15,0,1
45061,33876,2018-05-09 00:22:16,0,1
45063,33876,2018-05-09 00:23:17,0,1
45065,33876,2018-05-09 00:24:18,0,1
45066,33876,2018-05-09 00:25:19,0,1
45067,33876,2018-05-09 00:26:02,0,1
45069,33876,2018-05-09 00:27:06,0,1
45070,33876,2018-05-09 00:28:38,0,1
45071,33876,2018-05-09 00:29:42,0,1
45072,33876,2018-05-09 00:30:24,0,1
45074,33876,2018-05-09 00:31:25,0,1
45076,33876,2018-05-09 00:32:26,0,1
45078,33876,2018-05-09 00:33:27,0,1
45079,33876,2018-05-09 00:34:28,0,1
45080,33876,2018-05-09 00:35:12,0,1
45082,33876,2018-05-09 00:36:16,0,1
45084,33876,2018-05-09 00:37:30,0,1
45085,33876,2018-05-09 00:38:26,0,1
45087,33876,2018-05-09 00:39:30,0,1
45089,33876,2018-05-09 00:40:33,0,1
45091,33876,2018-05-09 00:41:34,0,1
45093,33876,2018-05-09 00:42:35,0,1
45095,33876,2018-05-09 00:43:36,0,1
45097,33876,2018-05-09 00:44:37,0,1
45099,33876,2018-05-09 00:45:38,0,1
45101,33876,2018-05-09 00:46:39,0,1
45102,33876,2018-05-09 00:47:40,0,1
45103,33876,2018-05-09 00:48:17,0,1
45105,33876,2018-05-09 00:49:20,0,1
45107,33876,2018-05-09 00:50:25,0,1
45109,33876,2018-05-09 00:51:29,0,1
45111,33876,2018-05-09 00:52:27,0,1
45116,33876,2018-05-09 00:53:37,0,1
45118,33876,2018-05-09 00:54:41,0,1
45120,33876,2018-05-09 00:55:47,0,1
45122,33876,2018-05-09 00:56:49,0,1
45124,33876,2018-05-09 00:57:50,0,1
45126,33876,2018-05-09 00:58:51,0,1
45127,33876,2018-05-09 00:59:52,0,1
45128,33876,2018-05-09 01:00:13,0,1
45130,33876,2018-05-09 01:01:18,0,1
45132,33876,2018-05-09 01:02:23,0,1
45134,33876,2018-05-09 01:03:27,0,1
45136,33876,2018-05-09 01:04:57,0,1
45137,33876,2018-05-09 01:05:37,0,1
45139,33876,2018-05-09 01:06:40,0,1
45141,33876,2018-05-09 01:07:44,0,1
45142,33876,2018-05-09 01:08:00,0,1
45144,33876,2018-05-09 01:09:01,0,1
45146,33876,2018-05-09 01:10:02,0,1
45147,33876,2018-05-09 01:18:10,0,1
45149,33876,2018-05-09 01:19:11,0,1
45151,33876,2018-05-09 01:20:12,0,1
45153,33876,2018-05-09 01:21:13,0,1
45155,33876,2018-05-09 01:22:14,0,1
45157,33876,2018-05-09 01:23:15,0,1
45159,33876,2018-05-09 01:24:16,0,1
45160,33876,2018-05-09 01:25:02,0,1
45162,33876,2018-05-09 01:26:07,0,1
45164,33876,2018-05-09 01:27:13,0,1
45166,33876,2018-05-09 01:28:16,0,1
45168,33876,2018-05-09 01:29:21,0,1
45169,33876,2018-05-09 01:30:22,0,1
45171,33876,2018-05-09 01:31:23,0,1
45173,33876,2018-05-09 01:32:24,0,1
45175,33876,2018-05-09 01:33:25,0,1
45177,33876,2018-05-09 01:34:26,0,1
45178,33876,2018-05-09 01:35:02,0,1
45180,33876,2018-05-09 01:36:08,0,1
45182,33876,2018-05-09 01:37:13,0,1
45184,33876,2018-05-09 01:38:16,0,1
45186,33876,2018-05-09 01:39:22,0,1
45188,33876,2018-05-09 01:40:27,0,1
45190,33876,2018-05-09 01:41:33,0,1
45191,33876,2018-05-09 01:42:34,0,1
45193,33876,2018-05-09 01:43:35,0,1
45194,33876,2018-05-09 01:44:01,0,1
45196,33876,2018-05-09 01:45:06,0,1
45198,33876,2018-05-09 01:46:10,0,1
45200,33876,2018-05-09 01:47:14,0,1
45202,33876,2018-05-09 01:48:19,0,1
45204,33876,2018-05-09 01:49:23,0,1
45206,33876,2018-05-09 01:50:26,0,1
45208,33876,2018-05-09 01:51:30,0,1
45210,33876,2018-05-09 01:52:34,0,1
45212,33876,2018-05-09 01:53:45,0,1
45213,33876,2018-05-09 01:54:46,0,1
45215,33876,2018-05-09 01:55:47,0,1
45217,33876,2018-05-09 01:56:48,0,1
45218,33876,2018-05-09 01:57:02,0,1
45220,33876,2018-05-09 01:58:07,0,1
45222,33876,2018-05-09 01:59:11,0,1
45224,33876,2018-05-09 02:00:14,0,1
45226,33876,2018-05-09 02:01:53,0,1
45227,33876,2018-05-09 02:02:24,0,1
45229,33876,2018-05-09 02:03:28,0,1
45231,33876,2018-05-09 02:04:31,0,1
45233,33876,2018-05-09 02:05:57,0,1
45234,33876,2018-05-09 02:06:41,0,1
45236,33876,2018-05-09 02:07:59,0,1
45237,33876,2018-05-09 02:09:00,0,1
45239,33876,2018-05-09 02:10:01,0,1
45241,33876,2018-05-09 02:11:02,0,1
45243,33876,2018-05-09 02:12:03,0,1
45245,33876,2018-05-09 02:13:04,0,1
45247,33876,2018-05-09 02:14:05,0,1
45249,33876,2018-05-09 02:15:06,0,1
45251,33876,2018-05-09 02:16:07,0,1
45253,33876,2018-05-09 02:17:08,0,1
45255,33876,2018-05-09 02:18:09,0,1
45257,33876,2018-05-09 02:19:10,0,1
45258,33876,2018-05-09 02:20:11,0,1
45260,33876,2018-05-09 02:21:12,0,1
45261,33876,2018-05-09 02:22:13,0,1
45262,33876,2018-05-09 02:23:07,0,1
45264,33876,2018-05-09 02:24:10,0,1
45266,33876,2018-05-09 02:25:14,0,1
45268,33876,2018-05-09 02:26:17,0,1
45270,33876,2018-05-09 02:27:18,0,1
45272,33876,2018-05-09 02:28:19,0,1
45273,33876,2018-05-09 02:29:20,0,1
45275,33876,2018-05-09 02:30:21,0,1
45277,33876,2018-05-09 02:31:22,0,1
45279,33876,2018-05-09 02:32:23,0,1
45281,33876,2018-05-09 02:33:24,0,1
45282,33876,2018-05-09 02:34:25,0,1
45283,33876,2018-05-09 02:35:06,0,1
45285,33876,2018-05-09 02:36:10,0,1
45287,33876,2018-05-09 02:37:13,0,1
45289,33876,2018-05-09 02:38:16,0,1
45291,33876,2018-05-09 02:39:23,0,1
45293,33876,2018-05-09 02:40:31,0,1
45294,33876,2018-05-09 02:41:32,0,1
45296,33876,2018-05-09 02:42:33,0,1
45298,33876,2018-05-09 02:43:34,0,1
45300,33876,2018-05-09 02:44:35,0,1
45302,33876,2018-05-09 02:45:36,0,1
45304,33876,2018-05-09 02:46:37,0,1
45305,33876,2018-05-09 02:47:38,0,1
45306,33876,2018-05-09 02:48:39,0,1
45307,33876,2018-05-09 02:49:13,0,1
45309,33876,2018-05-09 02:50:41,0,1
45310,33876,2018-05-09 02:51:22,0,1
45312,33876,2018-05-09 02:52:26,0,1
45317,33876,2018-05-09 02:53:31,0,1
45319,33876,2018-05-09 02:54:34,0,1
45321,33876,2018-05-09 02:55:38,0,1
45323,33876,2018-05-09 02:56:43,0,1
