,AMR
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
0,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
113,38302
230,38302
232,38302
234,38302
236,38302
238,38302
240,38302
241,38302
242,38302
244,38302
247,38302
249,38302
251,38302
253,38302
255,38302
257,38302
259,38302
261,38302
263,38302
264,38302
265,38302
267,38302
271,38302
273,38302
275,38302
277,38302
279,38302
280,38302
282,38302
284,38302
286,38302
288,38302
290,38302
292,38302
293,38302
295,38302
298,38302
300,38302
302,38302
304,38302
306,38302
308,38302
310,38302
312,38302
314,38302
315,38302
316,38302
318,38302
321,38302
323,38302
325,38302
327,38302
329,38302
331,38302
333,38302
335,38302
337,38302
337,38302
339,38302
339,38302
346,38302
346,38302
350,38302
350,38302
354,38302
354,38302
358,38302
358,38302
361,38302
361,38302
364,38302
364,38302
369,38302
369,38302
373,38302
373,38302
377,38302
377,38302
380,38302
380,38302
384,38302
384,38302
387,38302
387,38302
390,38302
390,38302
393,38302
393,38302
397,38302
397,38302
401,38302
401,38302
405,38302
405,38302
409,38302
409,38302
412,38302
412,38302
416,38302
416,38302
420,38302
420,38302
424,38302
424,38302
428,38302
428,38302
432,38302
432,38302
434,38302
434,38302
438,38302
438,38302
443,38302
443,38302
447,38302
447,38302
451,38302
451,38302
454,38302
454,38302
457,38302
457,38302
460,38302
460,38302
466,38302
466,38302
470,38302
470,38302
474,38302
474,38302
478,38302
478,38302
481,38302
481,38302
484,38302
484,38302
489,38302
489,38302
493,38302
493,38302
497,38302
497,38302
501,38302
501,38302
504,38302
504,38302
507,38302
507,38302
513,38302
513,38302
517,38302
517,38302
521,38302
521,38302
525,38302
525,38302
528,38302
528,38302
531,38302
531,38302
535,38302
535,38302
541,38302
541,38302
545,38302
545,38302
549,38302
549,38302
552,38302
552,38302
556,38302
556,38302
559,38302
559,38302
564,38302
564,38302
568,38302
568,38302
572,38302
572,38302
575,38302
575,38302
578,38302
578,38302
581,38302
581,38302
587,38302
587,38302
591,38302
591,38302
595,38302
595,38302
599,38302
599,38302
602,38302
602,38302
605,38302
605,38302
610,38302
610,38302
614,38302
614,38302
618,38302
618,38302
622,38302
622,38302
625,38302
625,38302
628,38302
628,38302
634,38302
634,38302
638,38302
638,38302
642,38302
642,38302
645,38302
645,38302
649,38302
649,38302
652,38302
652,38302
658,38302
658,38302
662,38302
662,38302
666,38302
666,38302
669,38302
669,38302
673,38302
673,38302
676,38302
676,38302
680,38302
680,38302
683,38302
683,38302
687,38302
687,38302
690,38302
690,38302
694,38302
694,38302
697,38302
697,38302
701,38302
701,38302
705,38302
705,38302
709,38302
709,38302
713,38302
713,38302
717,38302
717,38302
720,38302
720,38302
724,38302
724,38302
728,38302
728,38302
732,38302
732,38302
736,38302
736,38302
740,38302
740,38302
743,38302
743,38302
746,38302
746,38302
750,38302
750,38302
755,38302
755,38302
758,38302
758,38302
763,38302
763,38302
767,38302
767,38302
770,38302
770,38302
773,38302
773,38302
778,38302
778,38302
782,38302
782,38302
785,38302
785,38302
790,38302
790,38302
794,38302
794,38302
796,38302
796,38302
800,38302
800,38302
805,38302
805,38302
808,38302
808,38302
812,38302
812,38302
816,38302
816,38302
819,38302
819,38302
822,38302
822,38302
826,38302
826,38302
830,38302
830,38302
834,38302
834,38302
838,38302
838,38302
841,38302
841,38302
843,38302
843,38302
847,38302
847,38302
851,38302
851,38302
855,38302
855,38302
859,38302
859,38302
862,38302
862,38302
865,38302
865,38302
871,38302
871,38302
875,38302
875,38302
879,38302
879,38302
883,38302
883,38302
886,38302
886,38302
889,38302
889,38302
894,38302
894,38302
898,38302
898,38302
902,38302
902,38302
906,38302
906,38302
909,38302
909,38302
912,38302
912,38302
918,38302
918,38302
922,38302
922,38302
925,38302
925,38302
929,38302
929,38302
932,38302
932,38302
935,38302
935,38302
941,38302
941,38302
945,38302
945,38302
949,38302
949,38302
953,38302
953,38302
956,38302
956,38302
959,38302
959,38302
964,38302
964,38302
968,38302
968,38302
972,38302
972,38302
976,38302
976,38302
979,38302
979,38302
982,38302
982,38302
987,38302
987,38302
991,38302
991,38302
994,38302
994,38302
999,38302
999,38302
1003,38302
1003,38302
1005,38302
1005,38302
1010,38302
1010,38302
1014,38302
1014,38302
1018,38302
1018,38302
1022,38302
1022,38302
1026,38302
1026,38302
1029,38302
1029,38302
1033,38302
1033,38302
1036,38302
1036,38302
1040,38302
1040,38302
1044,38302
1044,38302
1048,38302
1048,38302
1051,38302
1051,38302
1054,38302
1054,38302
1060,38302
1060,38302
1064,38302
1064,38302
1068,38302
1068,38302
1072,38302
1072,38302
1075,38302
1075,38302
1079,38302
1079,38302
1082,38302
1082,38302
1086,38302
1086,38302
1091,38302
1091,38302
1095,38302
1095,38302
1099,38302
1099,38302
1102,38302
1102,38302
1105,38302
1105,38302
1109,38302
1109,38302
1114,38302
1114,38302
1117,38302
1117,38302
1122,38302
1122,38302
1126,38302
1126,38302
1129,38302
1129,38302
1132,38302
1132,38302
1137,38302
1137,38302
1142,38302
1142,38302
1146,38302
1146,38302
1149,38302
1149,38302
1154,38302
1154,38302
1157,38302
1157,38302
1157,38302
1164,38302
1164,38302
1164,38302
1170,38302
1170,38302
1170,38302
1176,38302
1176,38302
1176,38302
1180,38302
1180,38302
1180,38302
1188,38302
1188,38302
1188,38302
1194,38302
1194,38302
1194,38302
1200,38302
1200,38302
1200,38302
1205,38302
1205,38302
1205,38302
1211,38302
1211,38302
1211,38302
1219,38302
1219,38302
1219,38302
1224,38302
1224,38302
1224,38302
1230,38302
1230,38302
1230,38302
1236,38302
1236,38302
1236,38302
1242,38302
1242,38302
1242,38302
1248,38302
1248,38302
1248,38302
1253,38302
1253,38302
1253,38302
1259,38302
1259,38302
1259,38302
1265,38302
1265,38302
1265,38302
1271,38302
1271,38302
1271,38302
1276,38302
1276,38302
1276,38302
1276,38302
1286,38302
1286,38302
1286,38302
1286,38302
1294,38302
1294,38302
1294,38302
1294,38302
1300,38302
1300,38302
1300,38302
1300,38302
1310,38302
1310,38302
1310,38302
1310,38302
1310,38302
1310,38302
1322,38302
1322,38302
1322,38302
1322,38302
1322,38302
1322,38302
1334,38302
1334,38302
1334,38302
1334,38302
1334,38302
1334,38302
1347,38302
1347,38302
1347,38302
1347,38302
1347,38302
1347,38302
1358,38302
1358,38302
1358,38302
1358,38302
1358,38302
1358,38302
1370,38302
1370,38302
1370,38302
1370,38302
1370,38302
1370,38302
1379,38302
1379,38302
1379,38302
1379,38302
1379,38302
1379,38302
1390,38302
1390,38302
1390,38302
1390,38302
1390,38302
1390,38302
1402,38302
1402,38302
1402,38302
1402,38302
1402,38302
1402,38302
1415,38302
1415,38302
1415,38302
1415,38302
1415,38302
1415,38302
1426,38302
1426,38302
1426,38302
1426,38302
1426,38302
1426,38302
1438,38302
1438,38302
1438,38302
1438,38302
1438,38302
1438,38302
1449,38302
1449,38302
1449,38302
1449,38302
1449,38302
1449,38302
1463,38302
1463,38302
1463,38302
1463,38302
1463,38302
1463,38302
1474,38302
1474,38302
1474,38302
1474,38302
1474,38302
1474,38302
1486,38302
1486,38302
1486,38302
1486,38302
1486,38302
1486,38302
1499,38302
1499,38302
1499,38302
1499,38302
1499,38302
1499,38302
1511,38302
1511,38302
1511,38302
1511,38302
1511,38302
1511,38302
1521,38302
1521,38302
1521,38302
1521,38302
1521,38302
1521,38302
1533,38302
1533,38302
1533,38302
1533,38302
1533,38302
1533,38302
1544,38302
1544,38302
1544,38302
1544,38302
1544,38302
1544,38302
1557,38302
1557,38302
1557,38302
1557,38302
1557,38302
1557,38302
1568,38302
1568,38302
1568,38302
1568,38302
1568,38302
1568,38302
1580,38302
1580,38302
1580,38302
1580,38302
1580,38302
1580,38302
1589,38302
1589,38302
1589,38302
1589,38302
1589,38302
1589,38302
1589,38302
1589,38302
1589,38302
1606,38302
1606,38302
1606,38302
1606,38302
1606,38302
1606,38302
1606,38302
1606,38302
1606,38302
1624,38302
1624,38302
1624,38302
1624,38302
1624,38302
1624,38302
1624,38302
1624,38302
1624,38302
1624,38302
1643,38302
1643,38302
1643,38302
1643,38302
1643,38302
1643,38302
1643,38302
1643,38302
1643,38302
1643,38302
1661,38302
1661,38302
1661,38302
1661,38302
1661,38302
1661,38302
1661,38302
1661,38302
1661,38302
1661,38302
1678,38302
1678,38302
1678,38302
1678,38302
1678,38302
1678,38302
1678,38302
1678,38302
1678,38302
1678,38302
1697,38302
1697,38302
1697,38302
1697,38302
1697,38302
1697,38302
1697,38302
1697,38302
1697,38302
1697,38302
1717,38302
1717,38302
1717,38302
1717,38302
1717,38302
1717,38302
1717,38302
1717,38302
1717,38302
1717,38302
1736,38302
1736,38302
1736,38302
1736,38302
1736,38302
1736,38302
1736,38302
1736,38302
1736,38302
1736,38302
1736,38302
1758,38302
1758,38302
1758,38302
1758,38302
1758,38302
1758,38302
1758,38302
1758,38302
1758,38302
1758,38302
1758,38302
1758,38302
1758,38302
1794,38313
1794,38313
1794,38313
1794,38313
1794,38313
1794,38313
1794,38313
1794,38313
1794,38313
1794,38313
1794,38313
1794,38313
1794,38313
1832,38332
1832,38332
1832,38332
1832,38332
1832,38332
1832,38332
1832,38332
1832,38332
1832,38332
1832,38332
1832,38332
1832,38332
1832,38332
1869,38351
1869,38351
1869,38351
1869,38351
1869,38351
1869,38351
1869,38351
1869,38351
1869,38351
1869,38351
1869,38351
1869,38351
1869,38351
1906,38370
1906,38370
1906,38370
1906,38370
1906,38370
1906,38370
1906,38370
1906,38370
1906,38370
1906,38370
1906,38370
1906,38370
1906,38370
1944,38390
1944,38390
1944,38390
1944,38390
1944,38390
1944,38390
1944,38390
1944,38390
1944,38390
1944,38390
1944,38390
1944,38390
1944,38390
1981,38409
1981,38409
1981,38409
1981,38409
1981,38409
1981,38409
1981,38409
1981,38409
1981,38409
1981,38409
1981,38409
1981,38409
1981,38409
2019,38431
2019,38431
2019,38431
2019,38431
2019,38431
2019,38431
2019,38431
2019,38431
2019,38431
2019,38431
2019,38431
2019,38431
2019,38431
2056,38456
2056,38456
2056,38456
2056,38456
2056,38456
2056,38456
2056,38456
2056,38456
2056,38456
2056,38456
2056,38456
2056,38456
2056,38456
2093,38483
2093,38483
2093,38483
2093,38483
2093,38483
2093,38483
2093,38483
2093,38483
2093,38483
2093,38483
2093,38483
2093,38483
2093,38483
2130,38510
2130,38510
2130,38510
2130,38510
2130,38510
2130,38510
2130,38510
2130,38510
2130,38510
2130,38510
2130,38510
2130,38510
2130,38510
2168,38525
2168,38525
2168,38525
2168,38525
2168,38525
2168,38525
2168,38525
2168,38525
2168,38525
2168,38525
2168,38525
2168,38525
2168,38525
2207,38538
2207,38538
2207,38538
2207,38538
2207,38538
2207,38538
2207,38538
2207,38538
2207,38538
2207,38538
2207,38538
2207,38538
2207,38538
2245,38561
2245,38561
2245,38561
2245,38561
2245,38561
2245,38561
2245,38561
2245,38561
2245,38561
2245,38561
2245,38561
2245,38561
2245,38561
2283,38576
2283,38576
2283,38576
2283,38576
2283,38576
2283,38576
2283,38576
2283,38576
2283,38576
2283,38576
2283,38576
2283,38576
2283,38576
2320,38577
2320,38577
2320,38577
2320,38577
2320,38577
2320,38577
2320,38577
2320,38577
2320,38577
2320,38577
2320,38577
2320,38577
2320,38577
2358,38577
2358,38577
2358,38577
2358,38577
2358,38577
2358,38577
2358,38577
2358,38577
2358,38577
2358,38577
2358,38577
2358,38577
2358,38577
2394,38577
2394,38577
2394,38577
2394,38577
2394,38577
2394,38577
2394,38577
2394,38577
2394,38577
2394,38577
2394,38577
2394,38577
2394,38577
2434,38577
2434,38577
2434,38577
2434,38577
2434,38577
2434,38577
2434,38577
2434,38577
2434,38577
2434,38577
2434,38577
2434,38577
2434,38577
2434,38577
2434,38577
2477,38577
2477,38577
2477,38577
2477,38577
2477,38577
2477,38577
2477,38577
2477,38577
2477,38577
2477,38577
2477,38577
2477,38577
2477,38577
2477,38577
2477,38577
2521,38591
2521,38591
2521,38591
2521,38591
2521,38591
2521,38591
2521,38591
2521,38591
2521,38591
2521,38591
2521,38591
2521,38591
2521,38591
2521,38591
2521,38591
2562,38606
2562,38606
2562,38606
2562,38606
2562,38606
2562,38606
2562,38606
2562,38606
2562,38606
2562,38606
2562,38606
2562,38606
2562,38606
2562,38606
2562,38606
2592,38606
2592,38606
2592,38606
2592,38606
2592,38606
2592,38606
2592,38606
2592,38606
2592,38606
2592,38606
2592,38606
2592,38606
2592,38606
2592,38606
2592,38606
2624,38606
2624,38606
2624,38606
2624,38606
2624,38606
2624,38606
2624,38606
2624,38606
2624,38606
2624,38606
2624,38606
2624,38606
2624,38606
2624,38606
2624,38606
2653,38606
2653,38606
2653,38606
2653,38606
2653,38606
2653,38606
2653,38606
2653,38606
2653,38606
2653,38606
2653,38606
2653,38606
2653,38606
2653,38606
2653,38606
2682,38606
2682,38606
2682,38606
2682,38606
2682,38606
2682,38606
2682,38606
2682,38606
2682,38606
2682,38606
2682,38606
2682,38606
2682,38606
2682,38606
2682,38606
2710,38606
2710,38606
2710,38606
2710,38606
2710,38606
2710,38606
2710,38606
2710,38606
2710,38606
2710,38606
2710,38606
2710,38606
2710,38606
2710,38606
2710,38606
2739,38606
2739,38606
2739,38606
2739,38606
2739,38606
2739,38606
2739,38606
2739,38606
2739,38606
2739,38606
2739,38606
2739,38606
2739,38606
2739,38606
2739,38606
2768,38606
2768,38606
2768,38606
2768,38606
2768,38606
2768,38606
2768,38606
2768,38606
2768,38606
2768,38606
2768,38606
2768,38606
2768,38606
2768,38606
2768,38606
2797,38606
2797,38606
2797,38606
2797,38606
2797,38606
2797,38606
2797,38606
2797,38606
2797,38606
2797,38606
2797,38606
2797,38606
2797,38606
2797,38606
2797,38606
2826,38606
2826,38606
2826,38606
2826,38606
2826,38606
2826,38606
2826,38606
2826,38606
2826,38606
2826,38606
2826,38606
2826,38606
2826,38606
2826,38606
2826,38606
2856,38606
2856,38606
2856,38606
2856,38606
2856,38606
2856,38606
2856,38606
2856,38606
2856,38606
2856,38606
2856,38606
2856,38606
2856,38606
2856,38606
2856,38606
2885,38606
2885,38606
2885,38606
2885,38606
2885,38606
2885,38606
2885,38606
2885,38606
2885,38606
2885,38606
2885,38606
2885,38606
2885,38606
2885,38606
2885,38606
2885,38606
2915,38606
2915,38606
2915,38606
2915,38606
2915,38606
2915,38606
2915,38606
2915,38606
2915,38606
2915,38606
2915,38606
2915,38606
2915,38606
2915,38606
2915,38606
2915,38606
2943,38606
2943,38606
2943,38606
2943,38606
2943,38606
2943,38606
2943,38606
2943,38606
2943,38606
2943,38606
2943,38606
2943,38606
2943,38606
2943,38606
2943,38606
2943,38606
2972,38606
2972,38606
2972,38606
2972,38606
2972,38606
2972,38606
2972,38606
2972,38606
2972,38606
2972,38606
2972,38606
2972,38606
2972,38606
2972,38606
2972,38606
2972,38606
3003,38606
3003,38606
3003,38606
3003,38606
3003,38606
3003,38606
3003,38606
3003,38606
3003,38606
3003,38606
3003,38606
3003,38606
3003,38606
3003,38606
3003,38606
3003,38606
3003,38606
3003,38606
3003,38606
3003,38606
