,3,4,5,6
46378,37057,2018-05-19 00:00:22,0,1
46379,37057,2018-05-19 00:01:26,0,1
46380,37057,2018-05-19 00:02:23,0,1
46381,37057,2018-05-19 00:03:24,0,1
46383,37057,2018-05-19 00:04:25,0,1
46385,37057,2018-05-19 00:05:26,0,1
46386,37057,2018-05-19 00:06:02,0,1
46388,37057,2018-05-19 00:07:07,0,1
46390,37057,2018-05-19 00:08:15,0,1
46392,37057,2018-05-19 00:09:20,0,1
46395,37057,2018-05-19 00:10:27,0,1
46397,37057,2018-05-19 00:11:32,0,1
46399,37057,2018-05-19 00:12:33,0,1
46401,37057,2018-05-19 00:13:34,0,1
46403,37057,2018-05-19 00:14:35,0,1
46404,37057,2018-05-19 00:15:36,0,1
46405,37057,2018-05-19 00:16:08,0,1
46407,37057,2018-05-19 00:17:16,0,1
46410,37057,2018-05-19 00:18:24,0,1
46412,37057,2018-05-19 00:19:28,0,1
46414,37057,2018-05-19 00:20:33,0,1
46416,37057,2018-05-19 00:21:37,0,1
46418,37057,2018-05-19 00:22:43,0,1
46420,37057,2018-05-19 00:23:44,0,1
46422,37057,2018-05-19 00:24:45,0,1
46424,37057,2018-05-19 00:25:46,0,1
46426,37057,2018-05-19 00:26:47,0,1
46427,37057,2018-05-19 00:27:48,0,1
46428,37057,2018-05-19 00:28:15,0,1
46430,37057,2018-05-19 00:29:20,0,1
46433,37057,2018-05-19 00:30:24,0,1
46435,37057,2018-05-19 00:31:30,0,1
46437,37057,2018-05-19 00:32:36,0,1
46439,37057,2018-05-19 00:33:41,0,1
46441,37057,2018-05-19 00:34:45,0,1
46443,37057,2018-05-19 00:35:50,0,1
46445,37057,2018-05-19 00:36:55,0,1
46447,37057,2018-05-19 00:37:57,0,1
46449,37057,2018-05-19 00:38:58,0,1
46450,37057,2018-05-19 00:39:59,0,1
46451,37057,2018-05-19 00:40:18,0,1
46452,37057,2018-05-19 00:41:00,0,1
46455,37057,2018-05-19 00:42:01,0,1
46457,37057,2018-05-19 00:43:02,0,1
46459,37057,2018-05-19 00:44:03,0,1
46461,37057,2018-05-19 00:45:04,0,1
46463,37057,2018-05-19 00:46:05,0,1
46465,37057,2018-05-19 00:47:06,0,1
46467,37057,2018-05-19 00:48:07,0,1
46468,37057,2018-05-19 00:49:00,0,1
46470,37057,2018-05-19 00:50:05,0,1
46472,37057,2018-05-19 00:51:10,0,1
46473,37057,2018-05-19 00:52:11,0,1
46475,37057,2018-05-19 00:53:12,0,1
46478,37057,2018-05-19 00:54:13,0,1
46480,37057,2018-05-19 00:55:14,0,1
46482,37057,2018-05-19 00:56:15,0,1
46484,37057,2018-05-19 00:57:16,0,1
46486,37057,2018-05-19 00:58:17,0,1
46488,37057,2018-05-19 00:59:18,0,1
46489,37057,2018-05-19 01:00:01,0,1
46491,37057,2018-05-19 01:01:06,0,1
46493,37057,2018-05-19 01:02:11,0,1
46495,37057,2018-05-19 01:03:22,0,1
46496,37057,2018-05-19 01:04:23,0,1
46498,37057,2018-05-19 01:05:24,0,1
46501,37057,2018-05-19 01:06:25,0,1
46503,37057,2018-05-19 01:07:26,0,1
46505,37057,2018-05-19 01:08:27,0,1
46507,37057,2018-05-19 01:09:28,0,1
46508,37057,2018-05-19 01:10:00,0,1
46510,37057,2018-05-19 01:11:04,0,1
46512,37057,2018-05-19 01:12:10,0,1
46514,37057,2018-05-19 01:13:14,0,1
46516,37057,2018-05-19 01:14:19,0,1
46518,37057,2018-05-19 01:15:34,0,1
46519,37057,2018-05-19 01:16:35,0,1
46521,37057,2018-05-19 01:17:36,0,1
46523,37057,2018-05-19 01:18:03,0,1
46526,37057,2018-05-19 01:19:38,0,1
46528,37057,2018-05-19 01:20:39,0,1
46530,37057,2018-05-19 01:21:40,0,1
46531,37057,2018-05-19 01:22:02,0,1
46533,37057,2018-05-19 01:23:08,0,1
46535,37057,2018-05-19 01:24:12,0,1
46537,37057,2018-05-19 01:25:17,0,1
46539,37057,2018-05-19 01:26:22,0,1
46541,37057,2018-05-19 01:27:46,0,1
46542,37057,2018-05-19 01:28:44,0,1
46544,37057,2018-05-19 01:29:48,0,1
46546,37057,2018-05-19 01:30:07,0,1
46549,37057,2018-05-19 01:31:50,0,1
46551,37057,2018-05-19 01:32:51,0,1
46552,37057,2018-05-19 01:33:03,0,1
46554,37057,2018-05-19 01:34:13,0,1
46556,37057,2018-05-19 01:35:18,0,1
46558,37057,2018-05-19 01:36:22,0,1
46560,37057,2018-05-19 01:37:27,0,1
46562,37057,2018-05-19 01:38:32,0,1
46564,37057,2018-05-19 01:39:58,0,1
46565,37057,2018-05-19 01:40:54,0,1
46567,37057,2018-05-19 01:41:59,0,1
46568,37057,2018-05-19 01:42:00,0,1
46570,37057,2018-05-19 01:43:01,0,1
46572,37057,2018-05-19 01:44:02,0,1
46574,37057,2018-05-19 01:45:03,0,1
46576,37057,2018-05-19 01:46:04,0,1
46578,37057,2018-05-19 01:47:05,0,1
46580,37057,2018-05-19 01:48:06,0,1
46582,37057,2018-05-19 01:49:07,0,1
46584,37057,2018-05-19 01:50:08,0,1
46586,37057,2018-05-19 01:51:09,0,1
46587,37057,2018-05-19 01:52:10,0,1
46589,37057,2018-05-19 01:53:11,0,1
46591,37057,2018-05-19 01:54:12,0,1
46593,37057,2018-05-19 01:55:03,0,1
46595,37057,2018-05-19 01:56:08,0,1
46597,37057,2018-05-19 01:57:13,0,1
46599,37057,2018-05-19 01:58:16,0,1
46601,37057,2018-05-19 01:59:17,0,1
46603,37057,2018-05-19 02:00:18,0,1
46605,37057,2018-05-19 02:01:19,0,1
46607,37057,2018-05-19 02:02:20,0,1
46609,37057,2018-05-19 02:03:21,0,1
46610,37057,2018-05-19 02:04:22,0,1
46611,37057,2018-05-19 02:05:00,0,1
46613,37057,2018-05-19 02:06:06,0,1
46616,37057,2018-05-19 02:07:10,0,1
46618,37057,2018-05-19 02:08:15,0,1
46620,37057,2018-05-19 02:09:19,0,1
46622,37057,2018-05-19 02:10:23,0,1
46624,37057,2018-05-19 02:11:28,0,1
46626,37057,2018-05-19 02:12:30,0,1
46628,37057,2018-05-19 02:13:31,0,1
46630,37057,2018-05-19 02:14:32,0,1
46632,37057,2018-05-19 02:15:33,0,1
46633,37057,2018-05-19 02:16:34,0,1
46634,37057,2018-05-19 02:17:04,0,1
46636,37057,2018-05-19 02:18:10,0,1
