,3,4,5,6
46833,36501,2018-05-18 00:00:23,1,0
46835,36501,2018-05-18 00:01:24,1,0
46836,36501,2018-05-18 00:02:25,1,0
46837,36501,2018-05-18 00:03:09,1,0
46839,36501,2018-05-18 00:04:15,1,0
46841,36501,2018-05-18 00:05:20,1,0
46843,36501,2018-05-18 00:06:24,1,0
46845,36501,2018-05-18 00:07:29,1,0
46847,36501,2018-05-18 00:08:37,1,0
46848,36501,2018-05-18 00:09:41,1,0
46849,36501,2018-05-18 00:10:02,1,0
46851,36501,2018-05-18 00:11:34,1,0
46853,36501,2018-05-18 00:12:35,1,0
46855,36501,2018-05-18 00:13:36,1,0
46856,36501,2018-05-18 00:14:37,1,0
46857,36501,2018-05-18 00:15:17,1,0
46859,36501,2018-05-18 00:16:21,1,0
46862,36501,2018-05-18 00:17:26,1,0
46864,36501,2018-05-18 00:18:30,1,0
46866,36501,2018-05-18 00:19:34,1,0
46868,36501,2018-05-18 00:20:38,1,0
46870,36501,2018-05-18 00:21:42,1,0
46872,36501,2018-05-18 00:22:45,1,0
46874,36501,2018-05-18 00:23:46,1,0
46876,36501,2018-05-18 00:24:47,1,0
46878,36501,2018-05-18 00:25:48,1,0
46879,36501,2018-05-18 00:26:49,1,0
46880,36501,2018-05-18 00:27:13,1,0
46882,36501,2018-05-18 00:28:17,1,0
46885,36501,2018-05-18 00:29:20,1,0
46887,36501,2018-05-18 00:30:24,1,0
46889,36501,2018-05-18 00:31:28,1,0
46891,36501,2018-05-18 00:32:32,1,0
46893,36501,2018-05-18 00:33:37,1,0
46895,36501,2018-05-18 00:34:42,1,0
46897,36501,2018-05-18 00:35:46,1,0
46899,36501,2018-05-18 00:36:51,1,0
46901,36501,2018-05-18 00:38:00,1,0
46902,36501,2018-05-18 00:39:01,1,0
46904,36501,2018-05-18 00:40:02,1,0
46907,36501,2018-05-18 00:41:03,1,0
46909,36501,2018-05-18 00:42:04,1,0
46911,36501,2018-05-18 00:43:05,1,0
46913,36501,2018-05-18 00:44:06,1,0
46915,36501,2018-05-18 00:45:07,1,0
46917,36501,2018-05-18 00:46:08,1,0
46919,36501,2018-05-18 00:47:09,1,0
46921,36501,2018-05-18 00:48:10,1,0
46923,36501,2018-05-18 00:49:11,1,0
46924,36501,2018-05-18 00:50:12,1,0
46925,36501,2018-05-18 00:51:13,1,0
46927,36501,2018-05-18 00:52:14,1,0
46930,36501,2018-05-18 00:53:15,1,0
46932,36501,2018-05-18 00:54:16,1,0
46934,36501,2018-05-18 00:55:17,1,0
46936,36501,2018-05-18 00:56:18,1,0
46938,36501,2018-05-18 00:57:19,1,0
46940,36501,2018-05-18 00:58:20,1,0
46942,36501,2018-05-18 00:59:21,1,0
46944,36501,2018-05-18 01:00:22,1,0
46945,36501,2018-05-18 01:01:02,1,0
46947,36501,2018-05-18 01:02:24,1,0
46948,36501,2018-05-18 01:03:22,1,0
46950,36501,2018-05-18 01:04:26,1,0
46953,36501,2018-05-18 01:05:27,1,0
46955,36501,2018-05-18 01:06:28,1,0
46957,36501,2018-05-18 01:07:29,1,0
46959,36501,2018-05-18 01:08:30,1,0
46961,36501,2018-05-18 01:09:31,1,0
46963,36501,2018-05-18 01:10:32,1,0
46964,36501,2018-05-18 01:11:03,1,0
46966,36501,2018-05-18 01:12:07,1,0
46968,36501,2018-05-18 01:13:11,1,0
46970,36501,2018-05-18 01:14:36,1,0
46971,36501,2018-05-18 01:15:32,1,0
46973,36501,2018-05-18 01:16:37,1,0
46976,36501,2018-05-18 01:17:39,1,0
46978,36501,2018-05-18 01:18:40,1,0
46980,36501,2018-05-18 01:19:41,1,0
46982,36501,2018-05-18 01:20:42,1,0
46984,36501,2018-05-18 01:21:43,1,0
46986,36501,2018-05-18 01:22:44,1,0
46987,36501,2018-05-18 01:23:02,1,0
46989,36501,2018-05-18 01:24:07,1,0
46991,36501,2018-05-18 01:25:14,1,0
46993,36501,2018-05-18 01:26:48,1,0
46994,36501,2018-05-18 01:27:34,1,0
46996,36501,2018-05-18 01:28:38,1,0
46999,36501,2018-05-18 01:29:43,1,0
47001,36501,2018-05-18 01:30:47,1,0
47003,36501,2018-05-18 01:31:51,1,0
47005,36501,2018-05-18 01:32:54,1,0
47007,36501,2018-05-18 01:33:55,1,0
47008,36501,2018-05-18 01:34:00,1,0
47010,36501,2018-05-18 01:35:04,1,0
47012,36501,2018-05-18 01:36:09,1,0
47014,36501,2018-05-18 01:37:13,1,0
