,3,4,5,6
47367,37457,2018-05-20 00:00:09,0,1
47369,37457,2018-05-20 00:01:10,0,1
47371,37457,2018-05-20 00:02:11,0,1
47373,37457,2018-05-20 00:03:12,0,1
47375,37457,2018-05-20 00:04:13,0,1
47377,37457,2018-05-20 00:05:14,0,1
47379,37457,2018-05-20 00:06:15,0,1
47381,37457,2018-05-20 00:07:16,0,1
47383,37457,2018-05-20 00:08:17,0,1
47385,37457,2018-05-20 00:09:18,0,1
47386,37457,2018-05-20 00:10:00,0,1
47389,37457,2018-05-20 00:11:20,0,1
47390,37457,2018-05-20 00:12:19,0,1
47392,37457,2018-05-20 00:13:22,0,1
47395,37457,2018-05-20 00:14:23,0,1
47397,37457,2018-05-20 00:15:24,0,1
47399,37457,2018-05-20 00:16:25,0,1
47401,37457,2018-05-20 00:17:26,0,1
47403,37457,2018-05-20 00:18:27,0,1
47405,37457,2018-05-20 00:19:28,0,1
47407,37457,2018-05-20 00:20:29,0,1
47409,37457,2018-05-20 00:21:30,0,1
47410,37457,2018-05-20 00:22:00,0,1
47412,37457,2018-05-20 00:23:32,0,1
47413,37457,2018-05-20 00:24:19,0,1
47415,37457,2018-05-20 00:25:24,0,1
47418,37457,2018-05-20 00:26:29,0,1
47420,37457,2018-05-20 00:27:34,0,1
47422,37457,2018-05-20 00:28:37,0,1
47424,37457,2018-05-20 00:29:38,0,1
47426,37457,2018-05-20 00:30:39,0,1
47428,37457,2018-05-20 00:31:40,0,1
47430,37457,2018-05-20 00:32:41,0,1
47432,37457,2018-05-20 00:33:42,0,1
47433,37457,2018-05-20 00:34:00,0,1
47435,37457,2018-05-20 00:35:44,0,1
47436,37457,2018-05-20 00:36:21,0,1
47438,37457,2018-05-20 00:37:27,0,1
47441,37457,2018-05-20 00:38:31,0,1
47443,37457,2018-05-20 00:39:34,0,1
47445,37457,2018-05-20 00:40:38,0,1
47447,37457,2018-05-20 00:41:43,0,1
47449,37457,2018-05-20 00:42:47,0,1
47451,37457,2018-05-20 00:43:51,0,1
47453,37457,2018-05-20 00:44:53,0,1
47455,37457,2018-05-20 00:45:54,0,1
47457,37457,2018-05-20 00:46:55,0,1
