,3
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3001,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3116,27785
3227,27785
3229,27785
3230,27785
3231,27785
3232,27785
3234,27785
3236,27785
3238,27785
3239,27785
3241,27785
3243,27785
3245,27785
3247,27785
3249,27785
3251,27785
3253,27785
3255,27785
3257,27785
3259,27785
3261,27785
3263,27785
3264,27785
3266,27785
3268,27785
3270,27785
3272,27785
3274,27785
3276,27785
3278,27785
3280,27785
3282,27785
3284,27785
3286,27785
3287,27785
3289,27785
3291,27785
3293,27785
3295,27785
3297,27785
3299,27785
3301,27785
3303,27785
3305,27785
3307,27785
3308,27785
3310,27785
3312,27785
3313,27785
3315,27785
3317,27785
3319,27785
3321,27785
3323,27785
3325,27785
3327,27785
3329,27785
3330,27785
3332,27785
3334,27785
3336,27785
3338,27785
3340,27785
3342,27785
3344,27785
3346,27785
3348,27785
3350,27785
3352,27785
3354,27785
3355,27785
3357,27785
3359,27785
3361,27785
3363,27785
3365,27785
3367,27785
3369,27785
3371,27785
3372,27785
3373,27785
3375,27785
3377,27785
3379,27785
3381,27785
3383,27785
3385,27785
3387,27785
3389,27785
3391,27785
3393,27785
3394,27785
3396,27785
3398,27785
3400,27785
3402,27785
3404,27785
3406,27785
3408,27785
3410,27785
3412,27785
3414,27785
3416,27785
3417,27785
3419,27785
3421,27785
3423,27785
3425,27785
3427,27785
3428,27785
3430,27785
3432,27785
3434,27785
3436,27785
3438,27785
3439,27785
3441,27785
3443,27785
3445,27785
3447,27785
3449,27785
3451,27785
3453,27785
3455,27785
3457,27785
3459,27785
3461,27785
3463,27785
3464,27785
3466,27785
3468,27785
3470,27785
3472,27785
3474,27785
3476,27785
3478,27785
3480,27785
3482,27785
3484,27785
3485,27785
3487,27785
3489,27785
3491,27785
3493,27785
3495,27785
3497,27785
3499,27785
3501,27785
3503,27785
3505,27785
3507,27785
3508,27785
3510,27785
3512,27785
3514,27785
3516,27785
3518,27785
3520,27785
3522,27785
3524,27785
3526,27785
3528,27785
3530,27785
3531,27785
3533,27785
3535,27785
3537,27785
3539,27785
3541,27785
3543,27785
3544,27785
3546,27785
3548,27785
3550,27785
3552,27785
3553,27785
3555,27785
3557,27785
3559,27785
3561,27785
3563,27785
3565,27785
3567,27785
3569,27785
3571,27785
3573,27785
3575,27785
3577,27785
3578,27785
3580,27785
3582,27785
3584,27785
3586,27785
3588,27785
3590,27785
3592,27785
3594,27785
3596,27785
3598,27785
3600,27785
3601,27785
3603,27785
3605,27785
3607,27785
3609,27785
3611,27785
3613,27785
3615,27785
3617,27785
3619,27785
3621,27785
3623,27785
3624,27785
3626,27785
3628,27785
3630,27785
3632,27785
3634,27785
3636,27785
3638,27785
3640,27785
3642,27785
3644,27785
3646,27785
3648,27785
3650,27785
3651,27785
3653,27785
3655,27785
3657,27785
3659,27785
3660,27785
3662,27785
3664,27785
3666,27785
3668,27785
3670,27785
3672,27785
3673,27785
3675,27785
3677,27785
3679,27785
3681,27785
3681,27785
3685,27785
3685,27785
3688,27785
3688,27785
3692,27785
3692,27785
3696,27785
3696,27785
3700,27785
3700,27785
3704,27785
3704,27785
3708,27785
3708,27785
3711,27785
3711,27785
3715,27785
3715,27785
3719,27785
3719,27785
3723,27785
3723,27785
3727,27785
3727,27785
3731,27785
3731,27785
3734,27785
3734,27785
3738,27785
3738,27785
3742,27785
3742,27785
3746,27785
3746,27785
3750,27785
3750,27785
3754,27785
3754,27785
3757,27785
3757,27785
3761,27785
3761,27785
3765,27785
3765,27785
3769,27785
3769,27785
3773,27785
3773,27785
3776,27785
3776,27785
3779,27785
3779,27785
3783,27785
3783,27785
3787,27785
3787,27785
3791,27785
3791,27785
3795,27785
3795,27785
3799,27785
3799,27785
3802,27785
3802,27785
3806,27785
3806,27785
3810,27785
3810,27785
3814,27785
3814,27785
3818,27785
3818,27785
3822,27785
3822,27785
3825,27785
3825,27785
3829,27785
3829,27785
3833,27785
3833,27785
3837,27785
3837,27785
3841,27785
3841,27785
3845,27785
3845,27785
3848,27785
3848,27785
3852,27785
3852,27785
3856,27785
3856,27785
3860,27785
3860,27785
3864,27785
3864,27785
3868,27785
3868,27785
3871,27785
3871,27785
3875,27785
3875,27785
3879,27785
3879,27785
3883,27785
3883,27785
3887,27785
3887,27785
3890,27785
3890,27785
3893,27785
3893,27785
3897,27785
3897,27785
3901,27785
3901,27785
3905,27785
3905,27785
3909,27785
3909,27785
3913,27785
3913,27785
3916,27785
3916,27785
3920,27785
3920,27785
3924,27785
3924,27785
3928,27785
3928,27785
3932,27785
3932,27785
3936,27785
3936,27785
3939,27785
3939,27785
3943,27785
3943,27785
3947,27785
3947,27785
3951,27785
3951,27785
3955,27785
3955,27785
3958,27785
3958,27785
3962,27785
3962,27785
3965,27785
3965,27785
3967,27785
3967,27785
3967,27785
3973,27785
3973,27785
3973,27785
3977,27785
3977,27785
3977,27785
3983,27785
3983,27785
3983,27785
3989,27785
3989,27785
3989,27785
3994,27785
3994,27785
3994,27785
3999,27785
3999,27785
3999,27785
4005,27785
4005,27785
4005,27785
4010,27785
4010,27785
4010,27785
4016,27785
4016,27785
4016,27785
4020,27785
4020,27785
4020,27785
4026,27785
4026,27785
4026,27785
4032,27785
4032,27785
4032,27785
4037,27785
4037,27785
4037,27785
4043,27785
4043,27785
4043,27785
4049,27785
4049,27785
4049,27785
4054,27785
4054,27785
4054,27785
4060,27785
4060,27785
4060,27785
4066,27785
4066,27785
4066,27785
4072,27785
4072,27785
4072,27785
4077,27785
4077,27785
4077,27785
4083,27785
4083,27785
4083,27785
4087,27785
4087,27785
4087,27785
4093,27785
4093,27785
4093,27785
4099,27785
4099,27785
4099,27785
4104,27785
4104,27785
4104,27785
4109,27785
4109,27785
4109,27785
4109,27785
4109,27785
4109,27785
4119,27785
4119,27785
4119,27785
4119,27785
4119,27785
4119,27785
4119,27785
4119,27785
4119,27785
4135,27785
4135,27785
4135,27785
4135,27785
4135,27785
4135,27785
4135,27785
4135,27785
4135,27785
4135,27785
4135,27785
4156,27785
4156,27785
4156,27785
4156,27785
4156,27785
4156,27785
4156,27785
4156,27785
4156,27785
4156,27785
4156,27785
4177,27785
4177,27785
4177,27785
4177,27785
4177,27785
4177,27785
4177,27785
4177,27785
4177,27785
4177,27785
4177,27785
4198,27785
4198,27785
4198,27785
4198,27785
4198,27785
4198,27785
4198,27785
4198,27785
4198,27785
4198,27785
4198,27785
4218,27785
4218,27785
4218,27785
4218,27785
4218,27785
4218,27785
4218,27785
4218,27785
4218,27785
4218,27785
4218,27785
4239,27785
4239,27785
4239,27785
4239,27785
4239,27785
4239,27785
4239,27785
4239,27785
4239,27785
4239,27785
4239,27785
4260,27785
4260,27785
4260,27785
4260,27785
4260,27785
4260,27785
4260,27785
4260,27785
4260,27785
4260,27785
4260,27785
4279,27785
4279,27785
4279,27785
4279,27785
4279,27785
4279,27785
4279,27785
4279,27785
4279,27785
4279,27785
4279,27785
4300,27785
4300,27785
4300,27785
4300,27785
4300,27785
4300,27785
4300,27785
4300,27785
4300,27785
4300,27785
4300,27785
4300,27785
4300,27785
4323,27785
4323,27785
4323,27785
4323,27785
4323,27785
4323,27785
4323,27785
4323,27785
4323,27785
4323,27785
4323,27785
4323,27785
4323,27785
4347,27785
4347,27785
4347,27785
4347,27785
4347,27785
4347,27785
4347,27785
4347,27785
4347,27785
4347,27785
4347,27785
4347,27785
4347,27785
4372,27785
4372,27785
4372,27785
4372,27785
4372,27785
4372,27785
4372,27785
4372,27785
4372,27785
4372,27785
4372,27785
4372,27785
4372,27785
4397,27785
4397,27785
4397,27785
4397,27785
4397,27785
4397,27785
4397,27785
4397,27785
4397,27785
4397,27785
4397,27785
4397,27785
4397,27785
4422,27785
4422,27785
4422,27785
4422,27785
4422,27785
4422,27785
4422,27785
4422,27785
4422,27785
4422,27785
4422,27785
4422,27785
4422,27785
4445,27785
4445,27785
4445,27785
4445,27785
4445,27785
4445,27785
4445,27785
4445,27785
4445,27785
4445,27785
4445,27785
4445,27785
4445,27785
4470,27785
4470,27785
4470,27785
4470,27785
4470,27785
4470,27785
4470,27785
4470,27785
4470,27785
4470,27785
4470,27785
4470,27785
4470,27785
4494,27785
4494,27785
4494,27785
4494,27785
4494,27785
4494,27785
4494,27785
4494,27785
4494,27785
4494,27785
4494,27785
4494,27785
4494,27785
4519,27785
4519,27785
4519,27785
4519,27785
4519,27785
4519,27785
4519,27785
4519,27785
4519,27785
4519,27785
4519,27785
4519,27785
4519,27785
4544,27785
