,3,4,5,6
3141,31922,2018-05-17 00:00:09,0,1
3143,31922,2018-05-17 00:01:10,0,1
3145,31922,2018-05-17 00:02:11,0,1
3147,31922,2018-05-17 00:03:12,0,1
3149,31922,2018-05-17 00:04:13,0,1
3151,31922,2018-05-17 00:05:14,0,1
3153,31922,2018-05-17 00:06:15,0,1
3155,31922,2018-05-17 00:07:16,0,1
3156,31922,2018-05-17 00:08:01,0,1
3159,31922,2018-05-17 00:09:06,0,1
3161,31922,2018-05-17 00:10:19,0,1
3163,31922,2018-05-17 00:11:20,0,1
3165,31922,2018-05-17 00:12:21,0,1
3167,31922,2018-05-17 00:13:22,0,1
3169,31922,2018-05-17 00:14:23,0,1
3171,31922,2018-05-17 00:15:24,0,1
3173,31922,2018-05-17 00:16:25,0,1
3175,31922,2018-05-17 00:17:26,0,1
3177,31922,2018-05-17 00:18:27,0,1
3179,31922,2018-05-17 00:19:28,0,1
3180,31922,2018-05-17 00:20:03,0,1
3182,31922,2018-05-17 00:27:36,0,1
3183,31922,2018-05-17 00:28:04,0,1
3185,31922,2018-05-17 00:29:09,0,1
3187,31922,2018-05-17 00:30:13,0,1
3189,31922,2018-05-17 00:31:18,0,1
3191,31922,2018-05-17 00:32:22,0,1
3193,31922,2018-05-17 00:33:26,0,1
3195,31922,2018-05-17 00:34:32,0,1
3197,31922,2018-05-17 00:35:37,0,1
3199,31922,2018-05-17 00:36:45,0,1
3201,31922,2018-05-17 00:37:05,0,1
3204,31922,2018-05-17 00:38:47,0,1
3205,31922,2018-05-17 00:39:10,0,1
3207,31922,2018-05-17 00:40:15,0,1
3209,31922,2018-05-17 00:41:20,0,1
3211,31922,2018-05-17 00:42:24,0,1
3213,31922,2018-05-17 00:43:30,0,1
3215,31922,2018-05-17 00:44:35,0,1
3217,31922,2018-05-17 00:45:40,0,1
3219,31922,2018-05-17 00:46:44,0,1
3221,31922,2018-05-17 00:47:48,0,1
3223,31922,2018-05-17 00:48:53,0,1
3225,31922,2018-05-17 00:49:11,0,1
3228,31922,2018-05-17 00:50:59,0,1
3229,31922,2018-05-17 00:51:15,0,1
3230,31922,2018-05-17 00:52:00,0,1
3232,31922,2018-05-17 00:53:01,0,1
3234,31922,2018-05-17 00:54:02,0,1
3236,31922,2018-05-17 00:55:03,0,1
3238,31922,2018-05-17 00:56:04,0,1
3240,31922,2018-05-17 00:57:05,0,1
3242,31922,2018-05-17 00:58:06,0,1
3244,31922,2018-05-17 00:59:07,0,1
3246,31922,2018-05-17 01:00:08,0,1
3248,31922,2018-05-17 01:01:09,0,1
3251,31922,2018-05-17 01:02:10,0,1
3252,31922,2018-05-17 01:03:11,0,1
3254,31922,2018-05-17 01:04:11,0,1
3256,31922,2018-05-17 01:05:12,0,1
3258,31922,2018-05-17 01:06:13,0,1
3260,31922,2018-05-17 01:07:14,0,1
3262,31922,2018-05-17 01:08:15,0,1
3264,31922,2018-05-17 01:09:16,0,1
3266,31922,2018-05-17 01:10:17,0,1
3268,31922,2018-05-17 01:11:18,0,1
3270,31922,2018-05-17 01:12:19,0,1
3271,31922,2018-05-17 01:13:00,0,1
3274,31922,2018-05-17 01:14:04,0,1
3276,31922,2018-05-17 01:15:22,0,1
3278,31922,2018-05-17 01:16:23,0,1
3280,31922,2018-05-17 01:17:24,0,1
3282,31922,2018-05-17 01:18:25,0,1
3284,31922,2018-05-17 01:19:26,0,1
3286,31922,2018-05-17 01:20:27,0,1
3288,31922,2018-05-17 01:21:28,0,1
3290,31922,2018-05-17 01:22:29,0,1
3292,31922,2018-05-17 01:23:30,0,1
3294,31922,2018-05-17 01:24:31,0,1
3295,31922,2018-05-17 01:25:00,0,1
3298,31922,2018-05-17 01:26:04,0,1
3300,31922,2018-05-17 01:27:20,0,1
3302,31922,2018-05-17 01:28:25,0,1
3304,31922,2018-05-17 01:29:29,0,1
3306,31922,2018-05-17 01:30:33,0,1
3308,31922,2018-05-17 01:31:38,0,1
3310,31922,2018-05-17 01:32:39,0,1
3312,31922,2018-05-17 01:33:40,0,1
3314,31922,2018-05-17 01:34:41,0,1
3316,31922,2018-05-17 01:35:42,0,1
3318,31922,2018-05-17 01:36:43,0,1
3320,31922,2018-05-17 01:37:15,0,1
3322,31922,2018-05-17 01:38:01,0,1
3324,31922,2018-05-17 01:39:17,0,1
3326,31922,2018-05-17 01:40:21,0,1
3328,31922,2018-05-17 01:41:25,0,1
3330,31922,2018-05-17 01:42:36,0,1
3332,31922,2018-05-17 01:43:43,0,1
3334,31922,2018-05-17 01:44:48,0,1
3336,31922,2018-05-17 01:45:52,0,1
3338,31922,2018-05-17 01:46:53,0,1
3340,31922,2018-05-17 01:47:54,0,1
3341,31922,2018-05-17 01:48:02,0,1
3343,31922,2018-05-17 01:49:08,0,1
3346,31922,2018-05-17 01:50:12,0,1
3348,31922,2018-05-17 01:51:28,0,1
3350,31922,2018-05-17 01:52:32,0,1
3352,31922,2018-05-17 01:53:36,0,1
3353,31922,2018-05-17 01:54:00,0,1
3355,31922,2018-05-17 01:55:01,0,1
3357,31922,2018-05-17 01:56:02,0,1
3359,31922,2018-05-17 01:57:03,0,1
3361,31922,2018-05-17 01:58:04,0,1
3363,31922,2018-05-17 01:59:05,0,1
3364,31922,2018-05-17 02:00:00,0,1
3366,31922,2018-05-17 02:01:05,0,1
3369,31922,2018-05-17 02:02:08,0,1
3371,31922,2018-05-17 02:03:09,0,1
3373,31922,2018-05-17 02:04:10,0,1
3375,31922,2018-05-17 02:05:11,0,1
3377,31922,2018-05-17 02:06:12,0,1
3379,31922,2018-05-17 02:07:13,0,1
3381,31922,2018-05-17 02:08:14,0,1
3383,31922,2018-05-17 02:09:15,0,1
3385,31922,2018-05-17 02:10:16,0,1
3387,31922,2018-05-17 02:11:17,0,1
3389,31922,2018-05-17 02:12:18,0,1
3390,31922,2018-05-17 02:13:00,0,1
3393,31922,2018-05-17 02:14:04,0,1
3395,31922,2018-05-17 02:15:21,0,1
3397,31922,2018-05-17 02:16:22,0,1
3399,31922,2018-05-17 02:17:23,0,1
3401,31922,2018-05-17 02:18:24,0,1
